SUBDIVISION,YEAR,FORECAST_RAINFALL
North Interior Karnataka,2029,637.5631103515625
North Interior Karnataka,2030,644.34735107421875
Orissa,2018,1406.32177734375
Orissa,2019,1511.5635986328125
Orissa,2020,1456.4678955078125
Orissa,2021,1514.0753173828125
Orissa,2022,1560.4276123046875
Orissa,2023,1595.612060546875
Orissa,2024,1751.948486328125
Orissa,2025,1792.5235595703125
Orissa,2026,1922.61083984375
Orissa,2027,2042.27978515625
Orissa,2028,2377.8251953125
Orissa,2029,2381.666015625
Orissa,2030,2648.224609375
Punjab,2018,529.58966064453125
Punjab,2019,476.0731201171875
Punjab,2020,537.1839599609375
Punjab,2021,514.99505615234375
Punjab,2022,557.404541015625
Punjab,2023,566.41168212890625
Punjab,2024,581.427734375
Punjab,2025,616.6578369140625
Punjab,2026,598.35601806640625
Punjab,2027,649.801025390625
Punjab,2028,634.2103271484375
Punjab,2029,632.5455322265625
Punjab,2030,674.94940185546875
Rayalseema,2018,799.037353515625
Rayalseema,2019,754.27276611328125
Rayalseema,2020,877.14288330078125
Rayalseema,2021,747.8409423828125
Rayalseema,2022,797.22357177734375
Rayalseema,2023,794.73681640625
Rayalseema,2024,814.1610107421875
Rayalseema,2025,859.79095458984375
Rayalseema,2026,831.880126953125
Rayalseema,2027,873.37933349609375
Rayalseema,2028,885.508056640625
Rayalseema,2029,870.63018798828125
Rayalseema,2030,897.341552734375
Saurashtra & Kutch,2018,504.479248046875
Saurashtra & Kutch,2019,540.72479248046875
Saurashtra & Kutch,2020,578.84466552734375
Saurashtra & Kutch,2021,591.01702880859375
Saurashtra & Kutch,2022,593.05523681640625
Saurashtra & Kutch,2023,584.36419677734375
Saurashtra & Kutch,2024,584.80511474609375
Saurashtra & Kutch,2025,586.63067626953125
Saurashtra & Kutch,2026,586.06671142578125
Saurashtra & Kutch,2027,594.74676513671875
Saurashtra & Kutch,2028,575.182861328125
Saurashtra & Kutch,2029,591.4669189453125
Saurashtra & Kutch,2030,576.828369140625
South Interior Karnataka,2018,954.44281005859375
South Interior Karnataka,2019,959.7998046875
South Interior Karnataka,2020,983.01727294921875
South Interior Karnataka,2021,991.814208984375
South Interior Karnataka,2022,1053.6380615234375
South Interior Karnataka,2023,1101.3079833984375
South Interior Karnataka,2024,1078.0601806640625
South Interior Karnataka,2025,1063.612060546875
South Interior Karnataka,2026,1075.4803466796875
South Interior Karnataka,2027,1076.2838134765625
South Interior Karnataka,2028,1078.2493896484375
South Interior Karnataka,2029,1064.248779296875
South Interior Karnataka,2030,1070.19384765625
