SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND,Rainfall_Category,Lag_1,Lag_2,Lag_3,Rolling_3,Rolling_5
Assam & Meghalaya,1914,6.3,79.1,69.9,219.6,317.9,403.9,396.4,472.9,292.3,67.6,10.6,7.4,2343.8,85.5,607.4,1565.4,85.6,Heavy Rainfall,2760.5,2743.5,3096.2,2866.733333333333,2772.9
Assam & Meghalaya,1915,9.3,58.9,74.4,201.9,662.9,509.1,738.2,529.1,258.8,108.2,10,4.4,3165.1,68.2,939.2,2035.1,122.6,Heavy Rainfall,2343.8,2760.5,2743.5,2615.9333333333334,2766.26
Assam & Meghalaya,1916,20,28,118.4,227.9,340.6,367.3,475.3,430.7,308.8,244.9,32.8,6.3,2601.1,48,686.9,1582.1,284,Heavy Rainfall,3165.1,2343.8,2760.5,2756.4666666666667,2821.82
Assam & Meghalaya,1917,12.8,91.6,38.7,168.8,206.2,584.7,472.8,346.3,313.7,236.6,46.4,1.4,2519.9,104.4,413.6,1717.4,284.4,Heavy Rainfall,2601.1,3165.1,2343.8,2703.3333333333335,2722.8
Assam & Meghalaya,1918,4.6,16.1,125.5,152.2,287.4,659.4,805,604.8,373.2,70.7,6.8,1.1,3106.8,20.7,565.1,2442.5,78.6,Heavy Rainfall,2519.9,2601.1,3165.1,2762.0333333333333,2678.08
Assam & Meghalaya,1919,13.1,12.4,22.6,162.1,266.9,485.5,459,249.1,441.6,185.7,42.5,3.6,2344.2,25.5,451.6,1635.3,231.9,Heavy Rainfall,3106.8,2519.9,2601.1,2742.6,2747.34
Assam & Meghalaya,1920,4.8,51,228.1,184.8,282.7,523.8,309.8,521.5,382.6,129.5,3.3,1.8,2623.6,55.8,695.6,1737.6,134.6,Heavy Rainfall,2344.2,3106.8,2519.9,2656.9666666666667,2747.42
Assam & Meghalaya,1921,35.1,20.3,134.1,324.6,414.8,604.9,542.2,429.4,333.2,142.1,8.5,10.3,2999.7,55.4,873.6,1909.8,160.9,Heavy Rainfall,2623.6,2344.2,3106.8,2691.5333333333333,2639.12
Assam & Meghalaya,1922,16.6,4.9,77.8,168.7,233.1,548.9,418.4,379.4,265.6,129.9,9.3,9.4,2261.9,21.4,479.6,1612.3,148.7,Heavy Rainfall,2999.7,2623.6,2344.2,2655.833333333333,2718.84
Assam & Meghalaya,1923,0.4,59.6,17.1,258.1,397.8,588.6,375.4,267.2,360.9,98.2,11.2,5.9,2440.6,60,673,1592.1,115.4,Heavy Rainfall,2261.9,2999.7,2623.6,2628.4,2667.24
Assam & Meghalaya,1924,10.6,22.7,20,221.9,299.4,473.9,609,434,346,127,126.9,0.2,2691.4,33.3,541.3,1862.8,254,Heavy Rainfall,2440.6,2261.9,2999.7,2567.4,2534
Assam & Meghalaya,1925,26.4,21.5,53.8,278.3,602.2,330.8,411.1,400.7,322.3,89.5,13.7,0.2,2550.5,47.9,934.2,1465,103.4,Heavy Rainfall,2691.4,2440.6,2261.9,2464.633333333333,2603.44
Assam & Meghalaya,1926,23.4,23.2,156.9,140.8,253.9,559.3,576.5,354.7,189.2,193.7,6.4,33.6,2511.7,46.6,551.6,1679.7,233.8,Heavy Rainfall,2550.5,2691.4,2440.6,2560.8333333333335,2588.82
Assam & Meghalaya,1927,33.8,60.5,66,265.2,238.4,573.9,447.7,366.4,549.8,161.2,29.8,0.2,2793.1,94.3,569.7,1937.9,191.2,Heavy Rainfall,2511.7,2550.5,2691.4,2584.5333333333333,2491.22
Assam & Meghalaya,1928,8.3,21.1,61,138.9,446.5,420.6,428.1,448.2,343.5,294.8,21.6,1.5,2634.3,29.4,646.4,1640.5,317.9,Heavy Rainfall,2793.1,2511.7,2550.5,2618.4333333333334,2597.46
Assam & Meghalaya,1929,83.9,3.8,84.1,321.7,570.2,643.4,385,333.2,292.8,196,17.6,22.1,2953.8,87.7,976,1654.4,235.7,Heavy Rainfall,2634.3,2793.1,2511.7,2646.366666666667,2636.2
Assam & Meghalaya,1930,18,41,99.8,199.4,209.8,686.9,287.8,438.5,299.1,149.9,114.4,6.2,2550.7,59,509,1712.4,270.4,Heavy Rainfall,2953.8,2634.3,2793.1,2793.7333333333336,2688.68
Assam & Meghalaya,1931,7.6,29.2,47.6,294.7,374,605.6,654.6,282,330.2,136.7,21.6,16.3,2800.1,36.7,716.3,1872.4,174.7,Heavy Rainfall,2550.7,2953.8,2634.3,2712.9333333333334,2688.72
