Actual,Predicted
926.5,1137.9200439453125
636.1,1167.5321044921875
741.9,1041.8603515625
913,1009.6544799804688
1204.6,756.7000732421875
535,934.58074951171875
973,831.93408203125
753.1,1167.9547119140625
1008.6,967.60308837890625
1348.7,1086.4866943359375
746.4,1121.85546875
857.3,1230.9637451171875
1043.4,1098.135498046875
815.7,1065.26220703125
1564.7,1145.6112060546875
1223.9,1287.5191650390625
1735.4,1104.9144287109375
1287.4,1133.351806640625
1247.6,1182.153076171875
1308.6,1107.5933837890625
1476,1039.739013671875
893.2,1091.61279296875
1107.7,1167.0284423828125
1520,1166.458251953125
919.1,1130.6766357421875
993.8,944.386962890625
1163.8,1091.873046875
803,1234.766357421875
1063.9,917.00994873046875
1035.2,979.935302734375
1396.3,990.080078125
864.9,1162.23291015625
1042.3,1079.00390625
1098,1086.8382568359375
769,1163.702880859375
418.7,388.9618835449219
327.3,408.3990783691406
389.4,506.34332275390625
302.4,403.32525634765625
458.4,446.8092956542969
347,526.91534423828125
408.3,491.3045654296875
777.4,781.27154541015625
389.6,964.00714111328125
932.8,748.34405517578125
486.9,866.873779296875
582.7,873.20166015625
692.8,745.68701171875
585.2,757.89617919921875
